u_px,v_px,X_um,Y_um,Z_um
558.083372,26.1896952,12868,-18485,72148
87.0881668,46.1484916,-17013,-16103,68529
205.168782,84.87165,-9900,-14073,69000
313.024887,110.770876,-3102,-12626,69170
422.62906,129.631196,3866,-11525,69294
543.194418,145.631031,11564,-10588,69872
61.3032702,155.06442,-18030,-9338,66607
686.903267,155.020789,20127,-9705,68401
183.515103,189.810914,-10916,-7467,66948
296.627306,217.897432,-4109,-5881,67288
408.869355,239.795353,2858,-4600,67288
533.535986,264.044032,10596,-3172,67836
22.6673044,268.154067,-19577,-2705,64505
681.168319,284.931922,19588,-1916,67970
153.421593,302.489571,-12288,-821,65011
273.455062,331.961438,-5289,852,65255
394.112383,359.724696,1882,2442,65301
525.379314,390.829435,9690,4204,65419
686.082569,428.44813,18994,6272,65534
110.388081,431.095296,-14062,6148,62717
243.129723,466.18044,-6724,8139,63108
375.219557,500.649903,761,10007,63004
522.348038,545.337568,8980,12342,62912
