u_px,v_px,X_um,Y_um,Z_um
448.052778,43.1447044,5971,-18468,76199
573.034508,53.3252566,14846,-17952,77239
85.633965,68.1335528,-17970,-15544,71963
207.224449,107.318637,-10289,-13352,72449
319.085083,136.192773,-2928,-11683,73046
433.471369,159.042324,4780,-10320,73766
556.208918,172.138315,13066,-9440,73841
58.9272062,180.066879,-19039,-8268,69775
706.123816,183.489174,23475,-8803,75610
184.470792,216.294285,-11392,-6202,70264
300.151361,245.744799,-4031,-4448,70711
416.20567,264.123402,3418,-3277,70225
540.794813,281.961917,11378,-2165,69925
18.8160572,292.111444,-20479,-1423,66907
698.564204,314.721849,21613,-149,71411
154.149579,326.06572,-12727,531,67379
275.603677,353.200885,-5302,2128,67343
398.760681,380.386107,2227,3729,67271
534.730186,416.147683,10567,5845,67763
695.484733,446.265267,19938,7438,67084
246.838013,519.729905,-6913,11742,67375
388.042486,567.809289,1581,14679,68200
