u,v,X,Y,Z
540651.484,11428.3763,24490,-18410,76298
337048.422,12508.9312,5973,-18467,76209
430986.774,15482.7396,14853,-17950,77257
64420.1084,19738.1053,-17967,-15546,71951
155585.648,31120.473,-10289,-13353,72446
239927.436,39534.1952,-2927,-11678,73065
325471.819,46138.2247,4775,-10327,73738
418142.49,49865.6698,13053,-9450,73806
44229.145,52252.8457,-19044,-8262,69792
530892.771,53181.8949,23457,-8807,75571
138315.235,62839.2888,-11399,-6183,70314
225640.819,71291.7809,-4031,-4445,70720
312688.944,76562.7091,3413,-3289,70198
406730.955,81698.777,11369,-2175,69903
525716.139,91383.8273,21650,-117,71473
87656.6586,93386.6994,-12248,241,55321
177022.058,104076.947,-6405,2038,55882
269099.297,117708.214,-220,4403,56771
522871.078,129362.182,19926,7424,67065
370725.514,130800.216,6740,6641,57048
44611.8637,135769.213,-14263,6871,53388
148046.682,146316.372,-7882,8639,53653
251487.487,162614.772,-1347,11347,54233
