u_px,v_px,X_um,Y_um,Z_um
718.951441,39.408194,24490,-18410,77525.02850595108
448.202689,43.1342456,5973,-18467,77441.01535977206
573.12071,53.3887572,14853,-17950,78443.78372072916
85.6650378,68.062432,-17967,-15546,72927.46097361282
206.895808,107.311976,-10289,-13353,73230.59833450048
319.052442,136.324811,-2927,-11678,73703.05482309456
432.80827,159.097327,4775,-10327,74257.85763867103
556.040545,171.950586,13053,-9450,74249.1300807588
58.8153524,180.182227,-19044,-8262,70131.19354849
705.974429,183.385844,23457,-8807,75957.87487011164
183.929834,216.687203,-11399,-6183,70471.3046170196
300.054281,245.833727,-4031,-4445,70725.24931981156
415.809766,264.009342,3413,-3289,70102.11242477558
540.865631,281.719921,11369,-2175,69709.65005360772
699.090611,315.116646,21650,-117,71099.59838407136
116.564706,322.023101,-12248,241,54916.27744252907
235.401673,358.886025,-6405,2038,55320.06031417299
357.84481,405.890392,-220,4403,56002.14962493419
695.307285,446.07649,19926,7424,66031.84637242237
492.986056,451.035226,6740,6641,56083.34999596316
59.3242868,468.169701,-14263,6871,52403.2276033522
196.870588,504.539215,-7882,8639,52513.54764623837
334.424849,560.740594,-1347,11347,52856.62834541016
