u_px,v_px,X_um,Y_um,Z_um
718.951441,39.408194,24490,-18410,76298
448.202689,43.1342456,5973,-18467,76209
573.12071,53.3887572,14853,-17950,77257
85.6650378,68.062432,-17967,-15546,71951
206.895808,107.311976,-10289,-13353,72446
319.052442,136.324811,-2927,-11678,73065
432.80827,159.097327,4775,-10327,73738
556.040545,171.950586,13053,-9450,73806
58.8153524,180.182227,-19044,-8262,69792
705.974429,183.385844,23457,-8807,75571
183.929834,216.687203,-11399,-6183,70314
300.054281,245.833727,-4031,-4445,70720
415.809766,264.009342,3413,-3289,70198
540.865631,281.719921,11369,-2175,69903
699.090611,315.116646,21650,-117,71473
116.564706,322.023101,-12248,241,55321
235.401673,358.886025,-6405,2038,55882
357.84481,405.890392,-220,4403,56771
695.307285,446.07649,19926,7424,67065
492.986056,451.035226,6740,6641,57048
59.3242868,468.169701,-14263,6871,53388
196.870588,504.539215,-7882,8639,53653
334.424849,560.740594,-1347,11347,54233
