u_px,v_px,X_um,Y_um,Z_um
92.2768876,102.866895,0,0,0
359.774347,120.316706,0,0,0
238.152577,126.42955,-13329,-19578,116637
514.328665,206.382461,0,0,0
664.41097,213.68059,36558,-12105,133122
71.798497,253.509563,0,0,0
219.791694,295.647104,-16232,-2345,125134
357.863296,329.052622,-520,1325,126507
497.859291,352.270677,15571,3909,126558
651.855061,370.3546,33063,5844,126679
32.6447986,398.42008,-34621,8265,118729
190.719188,440.856087,-18569,12877,120272
335.084552,473.552283,-2909,16334,120350
482.673026,504.252159,13099,19575,120977
649.010487,540.584962,31278,23489,123141
