u_px,v_px,X_um,Y_um,Z_um
92.2517074,102.752593,0,0,0
238.61697,136.910332,-13824,-19370,122063
368.680682,155.356041,0,0,0
664.331857,213.510549,36521,-12116,133026
71.1923236,253.734289,0,0,0
218.337178,272.855125,-15092,-4456,115028
351.719033,298.646776,-1107,-1848,113465
626.44727,316.744577,0,0,0
498.102843,352.199198,15573,3911,126564
32.4159766,398.140282,-34590,8231,118630
189.735903,417.303753,-17386,9731,112028
335.025406,473.479606,-2910,16322,120320
482.801759,504.132917,13094,19563,120950
648.839836,540.5099,31263,23469,123100
