u,v,X,Y,Z
540.651484,11.4283763,24490,-18410,76298
337.048422,12.5089312,5973,-18467,76209
430.986774,15.4827396,14853,-17950,77257
64.4201084,19.7381053,-17967,-15546,71951
155.585648,31.120473,-10289,-13353,72446
239.927436,39.5341952,-2927,-11678,73065
325.471819,46.1382247,4775,-10327,73738
418.14249,49.8656698,13053,-9450,73806
44.229145,52.2528457,-19044,-8262,69792
530.892771,53.1818949,23457,-8807,75571
138.315235,62.8392888,-11399,-6183,70314
225.640819,71.2917809,-4031,-4445,70720
312.688944,76.5627091,3413,-3289,70198
406.730955,81.698777,11369,-2175,69903
525.716139,91.3838273,21650,-117,71473
87.6566586,93.3866994,-12248,241,55321
177.022058,104.076947,-6405,2038,55882
269.099297,117.708214,-220,4403,56771
522.871078,129.362182,19926,7424,67065
370.725514,130.800216,6740,6641,57048
44.6118637,135.769213,-14263,6871,53388
148.046682,146.316372,-7882,8639,53653
251.487487,162.614772,-1347,11347,54233
