u_px,v_px,X_um,Y_um,Z_um
448.052778,43.1447044,5971,-18468,77475.117599704
573.034508,53.3252566,14846,-17952,78469.97344932462
85.633965,68.1335528,-17970,-15544,72983.30074755418
207.224449,107.318637,-10289,-13352,73277.52559710537
319.085083,136.192773,-2928,-11683,73728.5070176806
433.471369,159.042324,4780,-10320,74329.25996929477
556.208918,172.138315,13066,-9440,74327.26994539195
58.9272062,180.066879,-19039,-8268,70158.73323173958
706.123816,183.489174,23475,-8803,76040.53966672593
184.470792,216.294285,-11392,-6202,70466.981652895
300.151361,245.744799,-4031,-4448,70760.52653707053
416.20567,264.123402,3418,-3277,70172.07731208169
540.794813,281.961917,11378,-2165,69774.78991824086
18.8160572,292.111444,-20479,-1423,66691.87332990461
698.564204,314.721849,21613,-149,71084.41277257258
154.149579,326.06572,-12727,531,66992.92048137497
275.603677,353.200885,-5302,2128,66817.20108572407
398.760681,380.386107,2227,3729,66605.13173541907
534.730186,416.147683,10567,5845,66912.00572339821
695.484733,446.265267,19938,7438,66093.6362824014
246.838013,519.729905,-6913,11742,66008.08507458583
388.042486,567.809289,1581,14679,66576.1308698102
